,longitude,latitude,zipcode,num_bedrooms,num_bathrooms,listing_price,neighborhood,street_address
1218,-97.78157,30.2212,78745,1.0,1.0,120.0,South Manchaca,4601 Hank Avenue
1219,-97.71555,30.25417,78702,2.0,2.0,116.0,Holly,2514 East Cesar Chavez Street
1220,-97.74554,30.29381,78705,1.0,1.0,300.0,West Campus,2810 Salado Street
1221,-97.74692,30.25301,78704,2.0,2.0,500.0,South Congress,200 Academy Drive
1222,-97.70298,30.25534,78702,1.0,1.0,300.0,Govalle,605 Vermont Road
1223,-97.74658,30.25366,78704,1.0,1.0,300.0,South Congress,South River City Austin
1224,-97.68787,30.27589,78721,2.0,2.0,443.0,MLK & 183,4705 Louis Avenue
1225,-97.72289,30.30635,78751,1.0,1.0,200.0,Hancock,611 East 45th Street
1226,-97.85813,30.22718,78749,1.0,1.0,49.0,Oak Hill,5615 Reynolds Road
1228,-97.73002,30.27451,78702,3.0,3.0,650.0,East Downtown,904 East 14th Street
1229,-97.73177,30.31808,78756,2.0,2.0,350.0,Brentwood,805 Capitol Court
1230,-97.74512,30.34618,78757,2.0,2.0,300.0,Allendale,6701 Shoal Creek Boulevard
1231,-97.71075,30.27711,78702,2.0,2.0,50.0,East Downtown,2819 East 14th Street
1232,-97.77281,30.2882,78703,3.0,3.0,1200.0,,1305 Exposition Boulevard
1233,-97.64616,30.32969,78754,1.0,1.0,100.0,,9298 East US Highway 290
1234,-97.75382,30.24399,78704,1.0,1.0,150.0,South Congress,2020 Condominiums Crockett Street
1235,-97.76914,30.23382,78704,3.0,3.0,850.0,Galindo,900 Cardinal Lane
1236,-97.77942,30.25232,78704,4.0,4.0,1250.0,,2302 Fortune Drive
1237,-97.75752,30.30196,78703,3.0,3.0,750.0,Bryker Woods,1807 Mohle Drive
1238,-97.74847,30.28948,78705,5.0,5.0,799.0,West Campus,1006 West 25th Street
1239,-97.74803,30.28582,78705,2.0,2.0,499.0,West Campus,2200 San Gabriel Street
1240,-97.76983,30.20961,78745,1.0,1.0,34.0,,5003 Wasson Road
1241,-97.75328,30.24364,78704,3.0,3.0,600.0,South Congress,2020 Condominiums Crockett Street
1242,-97.68761,30.29681,78723,1.0,1.0,80.0,Mueller,5005 Manor Road
1243,-97.72344,30.30114,78751,3.0,3.0,800.0,Hancock,Commodore Perry Estate 4100
1244,-97.76533,30.25328,78704,1.0,1.0,500.0,Zilker,1500 South Lamar Boulevard
1245,-97.73404,30.29344,78705,2.0,2.0,230.0,University of Texas,3103 Tom Green Street
1246,-97.68454,30.3004,78723,3.0,3.0,399.0,Pecan Spings,5308 Overbrook Drive
1247,-97.73358,30.25994,78702,1.0,1.0,425.0,East Downtown,Austin Public Library - Terrazas Branch 1105
1248,-97.77223,30.21986,78745,1.0,1.0,400.0,West Congress,411 West Saint Elmo Road
1249,-97.72389,30.25235,78702,1.0,1.0,123.0,Holly,2015 Holly Street
1251,-97.68302,30.31468,78723,1.0,1.0,50.0,Windsor Park,2202 Bristol Drive
1252,-97.74653,30.29277,78705,2.0,2.0,40.0,West Campus,2704 San Pedro Street
1253,-97.76351,30.2511,78704,1.0,1.0,250.0,South Lamar,1509 South Lamar Boulevard
1254,-97.71478,30.35617,78758,1.0,1.0,115.0,Wooten,8301 Research Boulevard
1255,-97.76967,30.28321,78703,1.0,1.0,300.0,West Austin,2202 West 10th Street
1257,-97.73127,30.24771,78741,1.0,1.0,141.0,East Riverside,Lady Bird Lake Hike and Bike Trail - Boardwalk Sunnydale
1258,-97.73858,30.24411,78704,2.0,2.0,189.0,Barton Hills,1510 Chelsea Lane
1259,-97.72299,30.24262,78741,1.0,1.0,125.0,East Riverside,Azul Lakeshore office 1201
1260,-97.74426,30.25516,78704,1.0,1.0,375.0,Travis Heights,Texas Department of Transportation 200
1261,-97.72666,30.24451,78741,1.0,1.0,150.0,East Riverside,Lakeshore Austin
1262,-97.71759,30.28436,78722,2.0,2.0,425.0,Upper Boggy Creek,The Vortex Parking Lot Maple Avenue
1263,-97.75762,30.24112,78704,1.0,1.0,200.0,Dawson,307 West Oltorf Street
1264,-97.71908,30.29045,78722,1.0,1.0,140.0,Upper Boggy Creek,3311 Werner Avenue
1265,-97.75918,30.25159,78704,3.0,3.0,200.0,Bouldin Creek,909 Jewell Street
1266,-97.75264,30.17869,78744,1.0,1.0,200.0,McKinney,4805 Tournus Trail
1267,-97.77979,30.2435,78704,2.0,2.0,70.0,Downtown,2807 South Lamar Boulevard
1268,-97.73395,30.30219,78751,1.0,1.0,80.0,Hyde Park,203 West 39th Street
1269,-97.72517,30.24301,78741,2.0,2.0,350.0,East Riverside,Waterloo City Lane Lakeshore
1270,-97.74162,30.27066,78701,1.0,1.0,849.0,Downtown,823 Congress 823
1271,-97.74494,30.29173,78705,1.0,1.0,150.0,West Campus,2614 Rio Grande Street
1274,-97.74229,30.29182,78705,2.0,2.0,200.0,West Campus,503 West 27th Street
1276,-97.80829,30.2904,78746,1.0,1.0,300.0,Westlake Hills,507 Buckeye Trail
1277,-97.75385,30.35017,78731,1.0,1.0,199.0,Northwest Hills,The Ridge Pool Wood Hollow Drive
1278,-97.73363,30.31538,78751,2.0,2.0,200.0,,West 47th Street The Triangle
1279,-97.76656,30.23143,78704,1.0,1.0,30.0,Galindo,3504 South 1st Street
1280,-97.76798,30.22845,78704,1.0,1.0,500.0,Dawson,3801 South 1st Street
1281,-97.73508,30.31367,78751,1.0,1.0,150.0,,637 810
1282,-97.72807,30.23216,78741,1.0,1.0,75.0,East Riverside,1921 Willow Creek Drive
1283,-97.79659,30.18268,78748,1.0,1.0,99.0,,657 Mairo Street
1284,-97.75142,30.29016,78705,1.0,1.0,200.0,West Campus,2530 North Lamar Boulevard
1285,-97.78992,30.27841,78746,3.0,3.0,160.0,,423 Ridgewood Road
1286,-97.73473,30.3226,78756,2.0,2.0,370.0,Brentwood,5204 Grover Avenue
1287,-97.72593,30.2305,78741,2.0,2.0,250.0,East Riverside,2302 South Pleasant Valley Road
1288,-97.7361,30.23294,78741,1.0,1.0,250.0,East Riverside,The Church of Jesus Christ of Latter-day Saints 2111
1289,-97.71621,30.31432,78751,3.0,3.0,242.0,North Loop,5205 Eilers Avenue
1290,-97.73059,30.26878,78702,1.0,1.0,105.0,East Downtown,Ebenezer Baptist Church 1010
1291,-97.746,30.28677,78705,1.0,1.0,80.0,West Campus,715 West 23rd Street
